Date : 2023-05-25 22:43:00
Directory : /Users/ramidmour/development/flutter_calory_calculator
Total : 93 files,  2832 codes, 213 comments, 400 blanks, all 3445 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         49 |      1,381 |          9 |        154 |      1,544 |
| C++        |         16 |        509 |        107 |        170 |        786 |
| XML        |         10 |        476 |         49 |         12 |        537 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         89 |          6 |         23 |        118 |
| Swift      |          4 |         42 |          3 |         12 |         57 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| YAML       |          2 |         29 |         23 |          8 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         93 |      2,832 |        213 |        400 |      3,445 |
| . (Files)                                                                                                            |          3 |         39 |         23 |         15 |         77 |
| android                                                                                                              |         12 |        169 |         53 |         34 |        256 |
| android (Files)                                                                                                      |          3 |         38 |          0 |         10 |         48 |
| android/app                                                                                                          |          8 |        126 |         53 |         23 |        202 |
| android/app (Files)                                                                                                  |          1 |         54 |          6 |         14 |         74 |
| android/app/src                                                                                                      |          7 |         72 |         47 |          9 |        128 |
| android/app/src/debug                                                                                                |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                                                 |          5 |         64 |         39 |          7 |        110 |
| android/app/src/main (Files)                                                                                         |          1 |         38 |          7 |          1 |         46 |
| android/app/src/main/res                                                                                             |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                              |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                               |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                  |         48 |      1,367 |         -1 |        147 |      1,513 |
| lib/api                                                                                                              |          5 |         93 |         -1 |         13 |        105 |
| lib/app                                                                                                              |          1 |         37 |          0 |          0 |         37 |
| lib/bindings                                                                                                         |          6 |         46 |          0 |          9 |         55 |
| lib/controllers                                                                                                      |         12 |        327 |          0 |         55 |        382 |
| lib/entity                                                                                                           |          3 |         65 |          0 |         13 |         78 |
| lib/models                                                                                                           |          4 |         92 |          0 |         12 |        104 |
| lib/pages                                                                                                            |         10 |        389 |          0 |         25 |        414 |
| lib/widgets                                                                                                          |          7 |        318 |          0 |         20 |        338 |
| lib/widgets/common                                                                                                   |          7 |        318 |          0 |         20 |        338 |
| linux                                                                                                                |          5 |         98 |         27 |         38 |        163 |
| linux (Files)                                                                                                        |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                        |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                                                |          5 |        441 |          3 |         12 |        456 |
| macos/Flutter                                                                                                        |          1 |         10 |          3 |          4 |         17 |
| macos/Runner                                                                                                         |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                                 |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                              |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                  |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                              |         10 |        410 |         80 |        131 |        621 |
| windows/flutter                                                                                                      |          2 |         14 |          9 |         11 |         34 |
| windows/runner                                                                                                       |          8 |        396 |         71 |        120 |        587 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/ramidmour/development/flutter_calory_calculator/README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| /Users/ramidmour/development/flutter_calory_calculator/analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/build.gradle                                      | Groovy     |         54 |          6 |         14 |         74 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/debug/AndroidManifest.xml                     | XML        |          4 |          4 |          1 |          9 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/main/AndroidManifest.xml                      | XML        |         38 |          7 |          1 |         46 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/main/res/drawable-v21/launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/main/res/drawable/launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/main/res/values-night/styles.xml              | XML        |          9 |          9 |          1 |         19 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/main/res/values/styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| /Users/ramidmour/development/flutter_calory_calculator/android/app/src/profile/AndroidManifest.xml                   | XML        |          4 |          4 |          1 |          9 |
| /Users/ramidmour/development/flutter_calory_calculator/android/build.gradle                                          | Groovy     |         27 |          0 |          5 |         32 |
| /Users/ramidmour/development/flutter_calory_calculator/android/gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| /Users/ramidmour/development/flutter_calory_calculator/android/gradle/wrapper/gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| /Users/ramidmour/development/flutter_calory_calculator/android/settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json | JSON       |         23 |          0 |          1 |         24 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md     | Markdown   |          3 |          0 |          2 |          5 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/Base.lproj/LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/Base.lproj/Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| /Users/ramidmour/development/flutter_calory_calculator/ios/Runner/Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/api/activity_api.dart                                     | Dart       |         21 |          0 |          2 |         23 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/api/favorite_api.dart                                     | Dart       |         26 |          0 |          5 |         31 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/api/products_api.dart                                     | Dart       |         29 |          0 |          3 |         32 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/api/profile_api.dart                                      | Dart       |          6 |          0 |          1 |          7 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/api/reports_api.dart                                      | Dart       |         11 |         -1 |          2 |         12 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/app/app.dart                                              | Dart       |         37 |          0 |          0 |         37 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/bindings/add_activity_page_binding.dart                   | Dart       |          9 |          0 |          2 |         11 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/bindings/add_meal_page_binding.dart                       | Dart       |          6 |          0 |          0 |          6 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/bindings/charts_page_binding.dart                         | Dart       |          8 |          0 |          2 |         10 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/bindings/diary_page_binding.dart                          | Dart       |         10 |          0 |          1 |         11 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/bindings/measurements_page_binding.dart                   | Dart       |          5 |          0 |          2 |          7 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/bindings/profiles_page_binding.dart                       | Dart       |          8 |          0 |          2 |         10 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/add_activity_controlller.dart                 | Dart       |         72 |          0 |          7 |         79 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/add_meal_page_controller.dart                 | Dart       |         30 |          0 |          3 |         33 |
| /Users/ramidmour/development/flutter_calory_calculator/lib/controllers/charts_page_controller.dart                   | Dart       |         67 |          0 |         15 |         82 |
